                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84293,                 5.9433,                 1.2865,                0.35609,                    0.5,                0.46893,                0.44191,                 0.7197,                 5.5508,                 1.2216,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.7352,                 5.7299,                 2.8171,                0.33748,                    0.4,                0.46893,                0.44688,                0.68828,                 5.3515,                 1.2217,               9.97e-05,               9.97e-05,               9.97e-05
                      3,                0.83293,                 4.3208,                 1.2326,                0.40684,                    0.4,                0.48083,                0.46695,                 0.5964,                 4.3913,                 1.1081,             0.00015615,             0.00015615,             0.00015615
                      4,                0.71693,                 3.5736,                 1.0813,                0.91504,                    0.5,                0.70833,                0.65132,                0.53079,                 3.6205,                  1.039,             0.00021223,             0.00021223,             0.00021223
                      5,                 1.0906,                 3.0168,                 1.3481,                0.87356,                    0.4,                 0.6416,                0.57642,                0.53964,                 3.0129,                  1.062,             0.00026793,             0.00026793,             0.00026793
                      6,                0.89401,                 2.5008,                 1.1962,                0.88143,                0.32572,                0.61624,                0.55246,                0.52307,                  2.397,                 1.0828,             0.00032325,             0.00032325,             0.00032325
                      7,                0.56274,                 2.0953,                0.85526,                0.59047,                0.58301,                0.59031,                0.52346,                0.48381,                 1.9284,                 1.0601,             0.00037819,             0.00037819,             0.00037819
                      8,                 1.3624,                 1.9927,                 1.8755,                0.47923,                0.51264,                0.65301,                0.54703,                0.53131,                 1.5472,                 1.0521,             0.00043276,             0.00043276,             0.00043276
                      9,                0.82692,                 1.6242,                 1.1818,                0.70718,                  0.625,                0.66152,                0.53684,                0.60315,                 1.3318,                 1.0667,             0.00048695,             0.00048695,             0.00048695
                     10,                0.78938,                 1.4065,                 1.1619,                 0.7343,                0.60967,                0.67136,                0.53923,                0.59956,                 1.2239,                 1.0515,             0.00054076,             0.00054076,             0.00054076
                     11,                0.81026,                 1.2406,                 1.1983,                0.71923,                0.72293,                0.74816,                0.60953,                0.56169,                 1.1603,                  1.005,             0.00059419,             0.00059419,             0.00059419
                     12,                0.73643,                 1.1459,                 1.1094,                0.65738,                0.84723,                0.80049,                0.67445,                0.54805,                 1.0928,                0.99627,             0.00064725,             0.00064725,             0.00064725
                     13,                 1.3206,                 1.4509,                 1.5829,                0.73753,                0.83826,                0.82607,                0.67911,                0.56565,                 1.0573,                 1.0218,             0.00069993,             0.00069993,             0.00069993
                     14,                 0.7239,                0.90761,                0.97958,                0.68907,                  0.825,                0.80705,                0.64436,                0.56712,                 1.1282,                  1.024,             0.00075223,             0.00075223,             0.00075223
                     15,                0.75266,                0.94218,                 1.1011,                0.62666,                   0.85,                 0.7873,                0.68424,                0.50634,                 1.0178,                0.99996,             0.00080416,             0.00080416,             0.00080416
                     16,                0.58022,                0.73459,                0.98975,                0.64237,                  0.875,                0.80094,                0.71115,                0.48343,                   0.92,                0.98895,             0.00085571,             0.00085571,             0.00085571
                     17,                0.61319,                0.76041,                0.99091,                0.73345,                  0.875,                0.84775,                 0.7464,                0.50795,                0.87939,                 0.9988,             0.00090688,             0.00090688,             0.00090688
                     18,                0.64628,                0.75985,                  1.003,                 0.7084,                0.93632,                0.90412,                0.81825,                0.48836,                0.87505,                0.99076,             0.00095767,             0.00095767,             0.00095767
                     19,                 0.7408,                0.79241,                 1.0786,                0.88431,                0.77257,                0.89489,                0.80605,                0.49276,                  0.888,                0.98673,              0.0010081,              0.0010081,              0.0010081
                     20,                0.69044,                0.82429,                  1.091,                0.87801,                0.77985,                0.92514,                0.81785,                0.48845,                0.84216,                0.97382,              0.0010581,              0.0010581,              0.0010581
                     21,                0.65258,                0.72977,                  1.094,                0.83659,                  0.799,                0.87622,                0.77515,                0.51923,                0.84808,                 0.9971,              0.0011078,              0.0011078,              0.0011078
                     22,                0.89514,                0.86349,                 1.1935,                0.89405,                0.88419,                0.89331,                0.74976,                0.58318,                0.77273,                 1.0304,              0.0011571,              0.0011571,              0.0011571
                     23,                 0.8547,                0.81947,                 1.2007,                 0.8747,                0.88198,                0.94491,                0.80504,                0.53308,                0.73159,                0.99022,               0.001206,               0.001206,               0.001206
                     24,                0.76218,                0.74183,                 1.0632,                0.77206,                0.88993,                0.94562,                0.80404,                 0.5621,                0.81923,                 1.0112,              0.0012545,              0.0012545,              0.0012545
                     25,                0.72265,                0.77692,                 1.0343,                 0.6872,                  0.913,                0.96727,                0.83067,                0.59862,                0.99444,                 1.0386,              0.0013027,              0.0013027,              0.0013027
                     26,                0.76186,                0.73449,                 1.0985,                0.71079,                 0.7709,                0.91839,                0.77999,                0.61689,                   1.11,                 1.0515,              0.0013111,              0.0013111,              0.0013111
                     27,                0.75198,                0.76155,                 1.0923,                0.83084,                    0.8,                0.89371,                0.76252,                0.58806,                 1.1798,                 1.0346,              0.0013064,              0.0013064,              0.0013064
                     28,                 1.0235,                 1.0001,                 1.3918,                0.90169,                   0.75,                0.84993,                0.71086,                  0.582,                 1.0236,                 1.0015,              0.0013017,              0.0013017,              0.0013017
                     29,                0.74915,                 0.7652,                 1.0498,                0.90514,                   0.75,                 0.8875,                 0.7732,                 0.6442,                0.98773,                 1.0397,               0.001297,               0.001297,               0.001297
                     30,                 1.0768,                 1.3582,                  1.338,                0.89555,                0.89215,                0.92351,                0.78524,                0.67134,                0.98993,                 1.0713,              0.0012922,              0.0012922,              0.0012922
                     31,                0.83675,                 1.0064,                 1.2475,                0.70609,                0.94866,                0.89055,                0.73089,                0.71362,                0.89705,                 1.1261,              0.0012875,              0.0012875,              0.0012875
                     32,                0.65321,                0.69668,                 1.0519,                0.93159,                0.83958,                0.91714,                0.74488,                0.65682,                0.83648,                 1.0642,              0.0012828,              0.0012828,              0.0012828
                     33,                0.88572,                 1.0921,                  1.234,                0.82071,                0.89188,                0.87631,                0.72525,                0.66693,                0.93239,                 1.0758,              0.0012781,              0.0012781,              0.0012781
                     34,                0.81659,                0.91935,                 1.0984,                0.78224,                0.85926,                0.86935,                   0.73,                0.61711,                 1.0182,                 1.0644,              0.0012734,              0.0012734,              0.0012734
                     35,                0.83156,                0.79124,                 1.1751,                0.77187,                    0.7,                0.78596,                0.69397,                0.62165,                  1.094,                 1.0868,              0.0012687,              0.0012687,              0.0012687
                     36,                 0.8374,                0.98076,                 1.1613,                0.81221,                0.68206,                0.75586,                0.66916,                0.65016,                 1.0302,                  1.096,               0.001264,               0.001264,               0.001264
                     37,                0.82347,                0.76431,                 1.1576,                0.87366,                0.75754,                0.91048,                0.80261,                0.68208,                 0.8691,                 1.0876,              0.0012592,              0.0012592,              0.0012592
                     38,                 0.8967,                0.71598,                 1.1463,                0.91092,                0.88528,                0.96066,                0.81839,                0.70855,                0.79413,                  1.092,              0.0012545,              0.0012545,              0.0012545
                     39,                0.89247,                0.77972,                 1.1605,                0.87168,                0.97579,                0.98322,                0.82785,                0.67798,                0.78774,                 1.0868,              0.0012498,              0.0012498,              0.0012498
                     40,                0.80973,                0.75529,                 1.1363,                 0.8238,                0.98315,                0.98845,                0.84475,                0.65488,                0.81173,                 1.0647,              0.0012451,              0.0012451,              0.0012451
                     41,                0.61153,                0.59751,                0.99525,                0.84178,                0.97175,                0.97852,                0.84544,                0.58686,                0.81027,                 1.0359,              0.0012404,              0.0012404,              0.0012404
                     42,                0.80937,                0.79779,                 1.1151,                0.86155,                   0.95,                0.96026,                0.87706,                0.55454,                0.79027,                 1.0053,              0.0012357,              0.0012357,              0.0012357
                     43,                 1.0301,                0.80626,                 1.4386,                0.87853,                0.96727,                0.95906,                0.85048,                0.56791,                0.80756,                 1.0085,              0.0012309,              0.0012309,              0.0012309
                     44,                0.75736,                0.74737,                 1.0398,                0.85042,                  0.975,                0.94771,                0.82801,                0.60838,                0.90126,                 1.0417,              0.0012262,              0.0012262,              0.0012262
                     45,                0.65345,                0.79609,                 1.0022,                0.85741,                0.96989,                0.95636,                 0.8398,                0.56972,                0.85739,                 1.0419,              0.0012215,              0.0012215,              0.0012215
                     46,                 1.0417,                 1.1748,                 1.2955,                0.94243,                0.87243,                0.96328,                0.83744,                0.58467,                0.80922,                 1.0471,              0.0012168,              0.0012168,              0.0012168
                     47,                0.96014,                   0.85,                 1.3556,                0.90936,                0.86463,                0.89479,                0.74653,                0.62734,                0.79664,                 1.0708,              0.0012121,              0.0012121,              0.0012121
                     48,                0.71157,                0.77126,                 1.0109,                0.78455,                   0.85,                0.85439,                0.70978,                0.63748,                0.79967,                 1.0928,              0.0012074,              0.0012074,              0.0012074
                     49,                0.77718,                0.73859,                 1.0701,                0.80343,                  0.775,                0.81984,                 0.6929,                0.60601,                0.77954,                 1.0497,              0.0012026,              0.0012026,              0.0012026
                     50,                 1.1164,                0.94664,                 1.6918,                0.75759,                0.75798,                0.79787,                0.69523,                0.65322,                0.82325,                 1.0612,              0.0011979,              0.0011979,              0.0011979
