                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.501,                 1.9915,                 1.5342,                0.02474,                0.10909,                0.01728,                0.00515,                 2.7977,                 7.4071,                 3.0236,             0.00065359,             0.00065359,             0.00065359
                      2,                  1.359,                 1.5087,                 1.4508,                0.09644,                0.23636,                0.06182,                0.01364,                 3.1218,                 10.319,                 3.9641,              0.0013159,              0.0013159,              0.0013159
                      3,                 1.3982,                  1.407,                 1.4861,                  0.003,                0.36364,                  0.002,                 0.0006,                 3.7689,                    inf,                  7.441,              0.0019738,              0.0019738,              0.0019738
                      4,                 1.3438,                 1.3394,                 1.4685,                0.13087,                0.23636,                0.11244,                0.03864,                 2.9475,                 5.6701,                 3.2364,              0.0019802,              0.0019802,              0.0019802
                      5,                  1.302,                 1.3028,                 1.4289,                0.21669,                    0.2,                0.07358,                0.02112,                 3.0422,                  4.336,                 3.2227,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.2707,                 1.2703,                 1.4199,                 0.7032,                0.10909,                0.13788,                0.03116,                 3.0732,                 3.4262,                 3.4012,               0.001967,               0.001967,               0.001967
                      7,                 1.2382,                 1.1899,                 1.3872,                0.25591,                0.16364,                0.12426,                0.03467,                 2.7639,                 2.9345,                 2.7296,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.2612,                  1.192,                  1.395,                0.24556,                0.09091,                0.07888,                0.02787,                 2.8605,                 3.0556,                  3.153,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.1721,                 1.1218,                 1.3639,                 0.1777,                0.09091,                 0.0859,                0.05041,                 2.5332,                 3.8362,                 2.4699,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.1574,                 1.0689,                   1.33,                0.15528,                    0.4,                0.10633,                0.03167,                 2.5772,                 2.7115,                 2.6178,              0.0019406,              0.0019406,              0.0019406
