                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7665,                 4.1111,                 2.1642,                0.05901,                0.16364,                0.02521,                 0.0052,                 3.2183,                 8.2279,                 4.4766,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.5509,                 1.7875,                 1.9335,                0.04738,                0.09091,                0.01095,                0.00304,                 3.6578,                 7.9159,                 4.8186,              0.0013159,              0.0013159,              0.0013159
                      3,                 1.5479,                 1.6205,                 1.9171,                0.03141,                0.16364,                0.01435,                0.00354,                 3.4636,                 15.135,                 4.9354,              0.0019738,              0.0019738,              0.0019738
                      4,                 1.4818,                 1.5491,                 1.8885,                0.01926,                0.10909,                 0.0073,                0.00204,                 3.1987,                 5.4727,                 3.8786,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.3997,                 1.4905,                 1.7982,                0.05071,                0.05455,                 0.0216,                0.00456,                 3.7659,                  5.786,                 4.3814,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.3937,                 1.4971,                 1.7971,                0.07366,                0.21818,                0.04862,                  0.012,                 2.7961,                 3.6961,                 3.6751,               0.001967,               0.001967,               0.001967
                      7,                 1.3515,                 1.3859,                 1.7697,                0.14743,                    0.2,                0.07283,                0.01898,                 3.2284,                 3.3626,                  4.087,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.3361,                 1.3602,                 1.7273,                0.09295,                0.09091,                0.03235,                 0.0085,                 3.0983,                 3.7855,                 3.7558,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.2318,                 1.2651,                  1.642,                 0.1221,                0.18182,                 0.0479,                0.01336,                 2.9834,                 3.4819,                 3.8795,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.2301,                  1.232,                 1.6546,                0.09752,                    0.2,                0.04331,                0.01083,                 3.0533,                 3.2509,                 3.6477,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.2368,                 1.2188,                 1.6178,                0.05161,                0.07273,                0.03087,                0.00695,                 3.1069,                 3.8514,                 3.6858,               0.001934,               0.001934,               0.001934
                     12,                 1.2088,                  1.224,                 1.5991,                0.08919,                0.14545,                0.02783,                0.01091,                 3.1145,                 3.6033,                 3.6814,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.1062,                 1.1092,                 1.5607,                 0.0917,                0.12727,                0.03718,                 0.0112,                 3.1641,                 3.4547,                  3.904,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.1378,                 1.1105,                 1.5692,                0.09564,                0.09814,                 0.0353,                0.00973,                 2.8719,                 3.4217,                 3.4295,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.1098,                 1.1013,                 1.5291,                0.12108,                0.09091,                0.03133,                0.00742,                  3.041,                 3.7165,                  3.541,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.1167,                 1.0907,                 1.5386,                0.11218,                0.12727,                0.04007,                0.01047,                 3.2177,                  3.233,                 3.9335,               0.001901,               0.001901,               0.001901
                     17,                 1.1031,                  1.094,                 1.5173,                0.10142,                0.16364,                0.04696,                0.01636,                 2.9189,                 3.6024,                  3.476,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.0541,                 1.0706,                 1.5184,                0.26003,                0.25455,                0.09751,                0.02253,                 3.1933,                  3.534,                 3.9522,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.0569,                 1.0579,                 1.5114,                0.31176,                0.16364,                0.14153,                0.05504,                 3.2198,                 3.4743,                 3.7906,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.0562,                 1.0299,                 1.5018,                0.15453,                    0.2,                0.06264,                0.01405,                 3.0646,                 3.3739,                 3.5363,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.0566,                 1.0048,                 1.4866,                0.15277,                0.27273,                0.07226,                 0.0198,                 2.9736,                 3.2935,                 3.6047,               0.001868,               0.001868,               0.001868
                     22,                 1.0271,                0.98052,                 1.4506,                 0.1654,                0.18182,                0.07972,                0.02343,                 3.0702,                 3.4957,                 3.7956,              0.0018614,              0.0018614,              0.0018614
