                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1677,                 3.5991,                  1.436,                0.73391,                0.38742,                0.47386,                0.35617,                0.81061,                 3.5551,                 1.1843,             0.00022864,             0.00022864,             0.00022864
                      2,                 1.0121,                 1.9549,                  1.293,                0.52124,                0.45218,                0.48017,                0.33868,                0.95933,                 1.7505,                 1.2881,             0.00047001,             0.00047001,             0.00047001
                      3,                 1.0011,                 1.7935,                 1.2824,                 0.2965,                0.50151,                0.42297,                 0.3078,                 0.9795,                 1.9694,                 1.2671,             0.00070978,             0.00070978,             0.00070978
                      4,                 1.0453,                 1.5298,                 1.2642,                0.46937,                 0.5653,                0.54149,                0.36308,                 1.0929,                 2.7657,                 1.3274,             0.00094795,             0.00094795,             0.00094795
                      5,                 1.0552,                 1.4473,                 1.2807,                0.41841,                0.29837,                0.36266,                0.24929,                 1.1962,                 3.4852,                 1.4885,              0.0011845,              0.0011845,              0.0011845
                      6,                 1.0126,                 1.3303,                 1.2282,                 0.5048,                0.48213,                0.30357,                0.20886,                 1.1925,                 5.9865,                 1.4326,              0.0014054,              0.0014054,              0.0014054
                      7,                 1.0854,                 1.4131,                 1.2768,                0.31615,                0.26065,                0.10355,                0.05886,                 1.6317,                 51.732,                 1.8345,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.0249,                   1.22,                 1.2445,                0.59369,                0.38999,                0.39294,                0.26128,                 1.2103,                 5.1744,                 1.4986,               0.001396,               0.001396,               0.001396
                      9,                0.94852,                 1.0804,                 1.1876,                0.47436,                0.56539,                0.47325,                 0.2954,                 1.2951,                 4.6879,                 1.6093,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.0572,                 1.1365,                 1.2683,                0.72401,                0.49562,                0.53037,                 0.3645,                  1.062,                 2.3547,                 1.3263,              0.0013866,              0.0013866,              0.0013866
                     11,                 1.0166,                  1.143,                 1.2399,                0.77936,                0.61158,                0.72028,                0.49232,                 1.0265,                 1.8374,                 1.3151,              0.0013818,              0.0013818,              0.0013818
                     12,                0.96622,                 1.1512,                 1.1998,                0.57871,                0.64293,                0.66445,                0.46661,                0.97526,                 2.0568,                  1.267,              0.0013771,              0.0013771,              0.0013771
                     13,                0.96826,                 1.0533,                 1.2083,                0.51012,                0.63612,                0.58624,                0.40692,                 1.0159,                 3.3064,                 1.2356,              0.0013724,              0.0013724,              0.0013724
                     14,                0.96365,                 1.0323,                 1.2125,                0.85399,                0.49017,                0.69615,                0.50284,                0.91863,                 1.7648,                 1.2145,              0.0013677,              0.0013677,              0.0013677
                     15,                0.98897,                 1.0277,                 1.2365,                0.64609,                0.77057,                0.81242,                0.59056,                 0.9475,                 1.3218,                 1.2398,               0.001363,               0.001363,               0.001363
                     16,                0.95513,                0.97968,                  1.205,                0.73966,                0.72046,                0.81686,                0.59272,                 0.8887,                  1.038,                 1.1976,              0.0013583,              0.0013583,              0.0013583
                     17,                0.93647,                0.97501,                 1.1905,                0.59872,                0.78961,                0.77068,                0.53525,                0.92799,                 1.2777,                 1.1977,              0.0013535,              0.0013535,              0.0013535
                     18,                0.91575,                0.96697,                 1.1703,                0.76679,                 0.6676,                0.76444,                 0.5694,                0.93826,                 1.1672,                 1.2394,              0.0013488,              0.0013488,              0.0013488
                     19,                0.90232,                0.92276,                 1.1554,                0.68393,                0.83992,                0.83371,                0.61454,                0.86737,                0.98702,                 1.1627,              0.0013441,              0.0013441,              0.0013441
                     20,                0.89627,                0.92336,                 1.1651,                0.73137,                0.83166,                0.83665,                0.63191,                 0.8225,                 1.0031,                 1.1361,              0.0013394,              0.0013394,              0.0013394
                     21,                0.88903,                0.93714,                 1.1686,                0.72951,                0.77911,                0.83726,                0.62493,                0.86925,                 1.0585,                 1.1782,              0.0013347,              0.0013347,              0.0013347
                     22,                0.88369,                0.90731,                 1.1586,                0.77674,                0.69819,                0.79755,                0.60102,                0.82292,                 1.1433,                 1.1278,                0.00133,                0.00133,                0.00133
                     23,                 0.9097,                0.92137,                  1.183,                0.76614,                0.65375,                0.78911,                0.58566,                0.85808,                 1.0374,                 1.1571,              0.0013253,              0.0013253,              0.0013253
                     24,                0.91372,                0.89815,                 1.2039,                0.74927,                0.79781,                0.85251,                0.65198,                0.85109,                 1.0869,                 1.1553,              0.0013205,              0.0013205,              0.0013205
                     25,                0.86408,                0.85635,                 1.1298,                0.75957,                0.75922,                0.85469,                0.66438,                0.80699,                 0.9707,                  1.116,              0.0013158,              0.0013158,              0.0013158
                     26,                0.83977,                0.85831,                 1.1091,                0.76757,                0.86064,                0.88493,                0.67143,                0.75257,                0.88296,                  1.093,              0.0013111,              0.0013111,              0.0013111
                     27,                0.81475,                0.83667,                 1.1246,                0.80125,                0.85857,                0.87369,                0.66999,                0.78294,                0.77813,                 1.1055,              0.0013064,              0.0013064,              0.0013064
