                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5221,                  2.679,                 1.7713,                    0.1,                0.14545,                0.03345,                0.00877,                  2.969,                  19.69,                 4.6677,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.4066,                 1.5551,                 1.6674,                0.01424,                0.32727,                0.00726,                0.00154,                  3.696,                  57.23,                 4.9145,              0.0013159,              0.0013159,              0.0013159
                      3,                  1.454,                 1.5086,                 1.6961,                 0.0694,                0.30374,                0.04571,                0.00994,                  3.231,                 7.8817,                 4.1338,              0.0019738,              0.0019738,              0.0019738
                      4,                 1.3853,                 1.4343,                 1.6626,                0.09251,                0.10909,                0.02249,                0.00471,                 3.3507,                 6.3052,                 5.2025,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.3405,                 1.3716,                 1.6132,                0.08878,                0.13291,                0.03135,                0.00787,                 3.0574,                 4.0473,                 4.1166,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.2927,                 1.3488,                  1.577,                0.14332,                    0.2,                0.08539,                0.02111,                 3.0238,                 3.3839,                 3.4831,               0.001967,               0.001967,               0.001967
                      7,                  1.226,                 1.2593,                  1.536,                0.11865,                0.18182,                0.04397,                0.00965,                  3.162,                 3.6074,                  3.643,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.2556,                 1.2418,                 1.5202,                0.11179,                0.10909,                0.02579,                0.00518,                 3.0581,                 3.9992,                  3.813,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.1625,                 1.1354,                  1.474,                0.04392,                0.09091,                0.03238,                0.00821,                 3.0911,                 3.4536,                 3.6842,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.1495,                 1.1135,                 1.4615,                0.07814,                0.25455,                0.04322,                0.01081,                 2.9662,                 3.3332,                 3.1302,              0.0019406,              0.0019406,              0.0019406
                     11,                  1.176,                 1.1232,                  1.445,                0.05002,                0.10909,                0.02956,                0.01097,                 3.3504,                 3.9106,                 4.1421,               0.001934,               0.001934,               0.001934
                     12,                 1.1318,                 1.1047,                 1.4293,                 0.1278,                0.09091,                0.05157,                0.02392,                 3.0804,                 3.6868,                 3.7031,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.0685,                 1.0489,                 1.4065,                0.13152,                0.16364,                0.04038,                0.00892,                 3.0931,                 3.6464,                 3.7799,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.0651,                 1.0308,                  1.402,                0.21543,                0.07273,                0.05121,                0.01283,                 2.8775,                 3.3575,                 3.3465,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.0338,                 0.9937,                 1.3631,                0.13902,                    0.2,                0.06768,                0.02161,                 2.8761,                 3.3441,                 3.5506,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.0518,                0.99159,                 1.3874,                0.07285,                0.21857,                0.04305,                0.01482,                 2.5664,                  3.622,                 3.2611,               0.001901,               0.001901,               0.001901
                     17,                 1.0497,                0.98431,                 1.3747,                0.14507,                0.27273,                0.12471,                0.03503,                 2.5867,                 3.2203,                 3.2151,              0.0018944,              0.0018944,              0.0018944
