                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0507,                 4.0464,                 1.3142,                0.44717,                0.51578,                0.51158,                0.41741,                 0.6941,                 5.5928,                 1.0334,             0.00022864,             0.00022864,             0.00022864
                      2,                0.99844,                 2.0973,                 1.2134,                0.57031,                0.59436,                0.59167,                0.43877,                0.89089,                 1.7838,                 1.1979,             0.00047001,             0.00047001,             0.00047001
                      3,                0.99614,                 1.8496,                 1.2179,                0.62411,                0.42993,                0.50775,                0.36059,                 1.0148,                 2.0046,                 1.2606,             0.00070978,             0.00070978,             0.00070978
                      4,                 1.0526,                 1.7376,                 1.2034,                0.24316,                0.35099,                0.24978,                0.16667,                 1.2391,                 2.8997,                 1.4526,             0.00094795,             0.00094795,             0.00094795
                      5,                  1.073,                 1.5323,                 1.2313,                0.39495,                0.17273,                0.12947,                0.07422,                 1.8306,                 7.9639,                 2.0184,              0.0011845,              0.0011845,              0.0011845
                      6,                 1.0265,                 1.4568,                 1.1878,                0.40959,                0.47353,                0.39068,                0.26921,                 1.1752,                 11.349,                 1.4914,              0.0014054,              0.0014054,              0.0014054
                      7,                 1.0572,                 1.3673,                 1.2211,                0.44366,                0.44926,                0.37625,                0.24371,                 1.3334,                 4.3737,                 1.5672,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.0707,                 1.3464,                 1.2296,                0.70684,                0.51108,                0.56868,                 0.3954,                 1.1077,                 3.1157,                 1.3399,               0.001396,               0.001396,               0.001396
                      9,                 0.9615,                 1.1678,                 1.1494,                 0.6428,                0.45056,                0.55124,                 0.3701,                 1.1999,                 3.2065,                 1.4269,              0.0013913,              0.0013913,              0.0013913
                     10,                  1.028,                 1.1594,                 1.2127,                0.58331,                0.65368,                0.66602,                0.45059,                 1.0453,                 2.8249,                 1.2959,              0.0013866,              0.0013866,              0.0013866
                     11,                 1.0468,                 1.1675,                 1.2119,                0.74188,                0.58035,                 0.6622,                 0.4673,                0.92778,                 2.0907,                  1.211,              0.0013818,              0.0013818,              0.0013818
                     12,                 1.0094,                 1.2019,                 1.2008,                0.74175,                0.72679,                0.79366,                0.55849,                 0.9407,                 1.4526,                 1.1977,              0.0013771,              0.0013771,              0.0013771
                     13,                  1.024,                 1.1124,                  1.191,                0.74492,                0.62847,                0.69939,                0.51638,                 0.8933,                 2.5938,                 1.1613,              0.0013724,              0.0013724,              0.0013724
                     14,                 0.9749,                 1.0966,                 1.1841,                0.76151,                0.75106,                 0.8059,                0.60521,                0.88895,                 1.6828,                 1.1764,              0.0013677,              0.0013677,              0.0013677
                     15,                 0.9482,                 1.0533,                   1.17,                0.77863,                0.76795,                0.80893,                0.59322,                0.97309,                 1.1038,                 1.2317,               0.001363,               0.001363,               0.001363
                     16,                0.94215,                 1.0068,                  1.171,                0.79602,                0.78726,                0.86568,                 0.6693,                0.84574,                 1.0982,                 1.1347,              0.0013583,              0.0013583,              0.0013583
                     17,                0.91016,                0.93629,                 1.1298,                0.84734,                0.80247,                0.88117,                0.68761,                0.80792,                0.91832,                 1.0591,              0.0013535,              0.0013535,              0.0013535
                     18,                0.90304,                0.94461,                 1.1186,                 0.8942,                 0.7734,                0.89172,                0.66611,                0.82898,                0.94489,                 1.1074,              0.0013488,              0.0013488,              0.0013488
                     19,                0.88072,                0.87281,                  1.105,                0.81927,                0.67357,                0.73798,                0.57349,                0.83454,                  1.053,                 1.0954,              0.0013441,              0.0013441,              0.0013441
                     20,                0.86543,                0.87095,                 1.1189,                0.87735,                0.79344,                0.89464,                0.67608,                0.78106,                0.94275,                 1.0816,              0.0013394,              0.0013394,              0.0013394
                     21,                0.86077,                0.88772,                 1.1113,                0.85174,                0.82436,                0.89307,                0.71414,                0.73073,                0.79266,                 1.0452,              0.0013347,              0.0013347,              0.0013347
                     22,                0.85858,                0.83733,                 1.0938,                0.87986,                0.85507,                0.90228,                0.69206,                0.80774,                0.78005,                 1.0883,                0.00133,                0.00133,                0.00133
                     23,                0.86384,                0.88277,                 1.1301,                0.88569,                 0.8421,                0.89956,                0.70245,                0.78555,                0.74872,                 1.1006,              0.0013253,              0.0013253,              0.0013253
                     24,                0.89334,                0.88895,                 1.1536,                0.85924,                 0.8247,                0.89113,                0.69649,                0.76819,                0.91583,                 1.0873,              0.0013205,              0.0013205,              0.0013205
                     25,                0.80363,                0.84158,                 1.0877,                0.82362,                0.66072,                0.79063,                0.63835,                0.77246,                0.99559,                 1.0831,              0.0013158,              0.0013158,              0.0013158
                     26,                0.81416,                0.81869,                 1.0796,                0.87091,                0.79699,                0.86679,                0.69379,                0.72398,                0.86883,                 1.0608,              0.0013111,              0.0013111,              0.0013111
                     27,                 0.8072,                0.81656,                 1.0998,                0.86575,                0.85509,                0.90358,                0.73643,                0.73339,                 0.8275,                 1.0724,              0.0013064,              0.0013064,              0.0013064
                     28,                0.81849,                0.78926,                 1.0959,                0.89222,                0.86293,                0.91816,                0.76123,                0.71885,                 0.7471,                  1.047,              0.0013017,              0.0013017,              0.0013017
                     29,                0.80588,                0.80428,                 1.0998,                0.93174,                0.84376,                 0.9278,                0.76682,                 0.7029,                0.73619,                 1.0406,               0.001297,               0.001297,               0.001297
                     30,                0.83534,                0.81458,                 1.1195,                0.92852,                0.84525,                0.92718,                0.74354,                0.71363,                0.70437,                 1.0477,              0.0012922,              0.0012922,              0.0012922
                     31,                0.81677,                0.83099,                 1.0781,                0.88672,                 0.8389,                0.92845,                0.73651,                0.75827,                0.70815,                 1.0635,              0.0012875,              0.0012875,              0.0012875
                     32,                0.80136,                0.80012,                 1.0728,                0.89565,                  0.847,                0.92194,                0.76022,                0.67033,                0.72395,                 1.0088,              0.0012828,              0.0012828,              0.0012828
                     33,                0.76403,                0.75387,                 1.0277,                0.86424,                0.87857,                0.91359,                0.74514,                0.66684,                 0.6672,                 1.0029,              0.0012781,              0.0012781,              0.0012781
                     34,                0.76855,                0.77932,                 1.0544,                0.84244,                0.87681,                0.92426,                0.75949,                0.68883,                0.69459,                 1.0275,              0.0012734,              0.0012734,              0.0012734
                     35,                0.75995,                 0.7824,                 1.0582,                0.92018,                  0.834,                 0.9359,                 0.7818,                0.69057,                0.66074,                 1.0337,              0.0012687,              0.0012687,              0.0012687
                     36,                0.74565,                0.76224,                 1.0495,                0.88958,                0.82646,                0.89917,                0.74618,                0.64545,                 0.7398,                 1.0138,               0.001264,               0.001264,               0.001264
                     37,                0.72362,                0.72007,                  1.037,                0.91195,                0.89523,                0.94948,                0.78447,                0.63183,                0.62896,                 1.0117,              0.0012592,              0.0012592,              0.0012592
                     38,                0.73043,                 0.7137,                  1.039,                0.91393,                0.86941,                0.92957,                0.77706,                0.64029,                0.63108,                 1.0138,              0.0012545,              0.0012545,              0.0012545
