                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1086,                 4.1284,                 1.3501,                0.45571,                0.43455,                0.48083,                0.39921,                0.70367,                 3.5804,                 1.0966,             0.00020006,             0.00020006,             0.00020006
                      2,                0.92168,                 2.0396,                 1.2045,                 0.6867,                0.57538,                0.65466,                0.52172,                0.72886,                 1.4086,                 1.0442,             0.00041304,             0.00041304,             0.00041304
                      3,                0.94109,                  1.693,                 1.1785,                0.44737,                0.54379,                0.48201,                0.35112,                 1.0223,                 1.6654,                 1.2267,             0.00062461,             0.00062461,             0.00062461
                      4,                 1.0015,                 1.5979,                 1.2263,                0.41907,                0.29385,                0.30157,                0.19647,                 1.4356,                 2.7247,                 1.6621,             0.00083476,             0.00083476,             0.00083476
                      5,                 1.0569,                 1.4685,                 1.2365,                0.52542,                0.38611,                0.40989,                0.29192,                 1.1117,                 2.0774,                 1.3841,              0.0010435,              0.0010435,              0.0010435
                      6,                 1.1059,                 1.4644,                 1.2831,                0.46256,                0.50946,                0.43212,                0.26941,                 1.2617,                 3.5257,                 1.5546,              0.0012508,              0.0012508,              0.0012508
                      7,                 1.0302,                 1.2632,                 1.2137,                0.42238,                0.52789,                0.39746,                 0.2678,                 1.1851,                  4.701,                  1.447,              0.0014007,              0.0014007,              0.0014007
                      8,                  1.057,                 1.4135,                 1.2351,                0.54282,                0.52963,                0.55658,                0.38249,                0.98172,                 3.8976,                 1.2608,               0.001396,               0.001396,               0.001396
