                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0388,                 5.7613,                 1.2458,                0.49143,                0.73309,                0.63474,                0.52123,                0.52333,                 7.2044,                 0.9311,             0.00011432,             0.00011432,             0.00011432
                      2,                0.79993,                 2.8976,                 1.1113,                0.78604,                0.80763,                0.87733,                0.75655,                0.58411,                 4.0993,                0.91971,             0.00024213,             0.00024213,             0.00024213
                      3,                0.93998,                 1.9468,                 1.1682,                 0.8598,                0.85392,                0.92002,                0.76997,                0.72353,                 2.9476,                0.95821,             0.00036909,             0.00036909,             0.00036909
                      4,                0.83802,                 1.7031,                 1.0791,                0.71607,                0.80704,                 0.8073,                0.67273,                0.71115,                 2.9307,                0.97213,              0.0004952,              0.0004952,              0.0004952
                      5,                0.93854,                 1.4695,                 1.1021,                0.67622,                0.74822,                0.75855,                0.58367,                0.90892,                 2.9936,                 1.2065,             0.00062046,             0.00062046,             0.00062046
                      6,                 1.0593,                  1.599,                  1.196,                 0.5867,                0.77593,                0.76111,                0.57389,                  1.009,                 2.7318,                 1.2701,             0.00074487,             0.00074487,             0.00074487
                      7,                  1.008,                 1.2893,                  1.083,                0.56224,                0.80196,                0.74002,                0.53954,                0.96528,                 3.4027,                 1.1792,             0.00086844,             0.00086844,             0.00086844
                      8,                0.88373,                  1.134,                 1.0968,                0.69422,                0.71544,                0.74755,                0.55155,                0.99066,                 1.9338,                 1.2249,             0.00099115,             0.00099115,             0.00099115
                      9,                0.89885,                 1.1137,                 1.0914,                0.46815,                0.69706,                0.62393,                0.34941,                 1.4666,                 5.7358,                 1.5786,               0.001113,               0.001113,               0.001113
                     10,                 1.0779,                 1.1948,                  1.228,                0.65567,                0.56471,                0.62374,                0.40175,                 1.3319,                 4.8702,                 1.4494,               0.001234,               0.001234,               0.001234
                     11,                 1.0688,                 1.1967,                 1.2249,                0.49863,                0.49387,                0.52829,                 0.3433,                 1.4775,                 4.5692,                 1.6534,              0.0013542,              0.0013542,              0.0013542
                     12,                 1.0744,                 1.2126,                 1.1898,                0.31578,                0.50343,                0.30749,                0.17147,                 2.0897,                 30.705,                 2.5067,              0.0013771,              0.0013771,              0.0013771
                     13,                 1.0709,                 1.1386,                 1.1878,                0.57515,                0.76642,                 0.6695,                 0.4295,                 1.2065,                 4.9287,                 1.4591,              0.0013724,              0.0013724,              0.0013724
                     14,                 1.0196,                 1.0227,                 1.1582,                0.58356,                0.81152,                 0.7967,                0.55821,                 1.1006,                 5.4493,                 1.3886,              0.0013677,              0.0013677,              0.0013677
                     15,                 1.0512,                 1.0644,                 1.1783,                 0.7793,                 0.7277,                0.79046,                 0.5889,                 1.1224,                 2.5541,                 1.3436,               0.001363,               0.001363,               0.001363
                     16,                  1.084,                 1.0783,                 1.1967,                0.70303,                0.76887,                0.79427,                 0.5506,                 1.3222,                 3.2955,                  1.451,              0.0013583,              0.0013583,              0.0013583
                     17,                0.99296,                  1.028,                 1.1576,                0.74744,                 0.7369,                0.76855,                0.58934,                 1.2013,                 2.3674,                  1.325,              0.0013535,              0.0013535,              0.0013535
                     18,                 1.1128,                 1.1392,                 1.2211,                0.75207,                0.66154,                0.73864,                0.55066,                 1.2332,                 2.5599,                 1.2997,              0.0013488,              0.0013488,              0.0013488
                     19,                 1.0712,                 1.0475,                 1.1768,                0.69633,                 0.6531,                0.72384,                0.52439,                  1.262,                 2.4978,                 1.3013,              0.0013441,              0.0013441,              0.0013441
                     20,                0.96978,                0.89995,                 1.1098,                0.77108,                0.83064,                0.87185,                0.66558,                0.90191,                 1.7227,                  1.092,              0.0013394,              0.0013394,              0.0013394
