                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81117,                 0.7955,                 1.1538,                0.88161,                0.91653,                0.95824,                0.80671,                0.60688,                0.63991,                 1.0231,               0.001264,               0.001264,               0.001264
                     37,                0.76853,                0.76971,                 1.1219,                0.85844,                 0.9145,                0.96459,                0.82131,                0.59679,                0.64783,                 1.0136,              0.0012592,              0.0012592,              0.0012592
                     38,                0.80137,                0.80069,                 1.1368,                0.90124,                0.87866,                0.96498,                0.81506,                0.62861,                0.65161,                 1.0307,              0.0012545,              0.0012545,              0.0012545
                     39,                0.78018,                 0.8107,                  1.137,                0.88545,                0.90487,                0.96258,                0.81469,                0.60308,                0.63927,                 1.0169,              0.0012498,              0.0012498,              0.0012498
                     40,                0.71567,                0.73135,                 1.0679,                0.89728,                0.93105,                0.96725,                0.82202,                0.58734,                0.60784,                0.99602,              0.0012451,              0.0012451,              0.0012451
                     41,                 0.8353,                0.86598,                 1.1842,                0.93203,                0.92823,                0.97736,                  0.833,                0.56694,                0.58173,                 0.9924,              0.0012404,              0.0012404,              0.0012404
                     42,                0.76231,                0.74444,                  1.127,                0.92932,                0.93669,                0.97683,                0.82581,                0.57967,                0.57175,                0.99543,              0.0012357,              0.0012357,              0.0012357
                     43,                0.80373,                 0.8141,                 1.1698,                0.92457,                0.91949,                0.97148,                0.82952,                0.56136,                0.56402,                0.98606,              0.0012309,              0.0012309,              0.0012309
                     44,                0.76792,                0.77352,                 1.1516,                0.93417,                0.91026,                0.97211,                0.83734,                0.57316,                0.58027,                      1,              0.0012262,              0.0012262,              0.0012262
                     45,                0.64296,                0.64744,                 1.0043,                0.89922,                0.91922,                0.97008,                0.84014,                0.53952,                0.57746,                0.99498,              0.0012215,              0.0012215,              0.0012215
                     46,                0.81398,                0.77026,                 1.1595,                0.89174,                0.96607,                0.97353,                0.84528,                0.54342,                0.55248,                 1.0012,              0.0012168,              0.0012168,              0.0012168
                     47,                0.69864,                0.70373,                 1.0898,                0.93567,                0.93775,                0.97778,                0.84408,                0.54366,                0.53251,                 1.0028,              0.0012121,              0.0012121,              0.0012121
                     48,                0.69246,                0.72383,                 1.0907,                0.90415,                0.93816,                0.97478,                0.85507,                0.52258,                0.53546,                0.99108,              0.0012074,              0.0012074,              0.0012074
                     49,                 0.7252,                0.73601,                 1.1429,                0.93588,                 0.9405,                 0.9782,                0.85955,                0.53019,                0.54411,                0.99232,              0.0012026,              0.0012026,              0.0012026
                     50,                0.72774,                0.76255,                 1.1325,                0.94391,                0.95001,                0.97657,                 0.8656,                0.52434,                0.55559,                0.98776,              0.0011979,              0.0011979,              0.0011979
                     51,                0.70934,                0.73395,                 1.1161,                0.94814,                0.95475,                 0.9783,                0.86274,                0.52827,                0.55208,                0.98845,              0.0011932,              0.0011932,              0.0011932
                     52,                  0.763,                0.74088,                 1.1283,                0.92527,                0.94938,                 0.9812,                0.85845,                0.53566,                0.53648,                 1.0084,              0.0011885,              0.0011885,              0.0011885
                     53,                0.62963,                0.67865,                 1.0409,                0.92763,                0.94608,                0.98019,                 0.8529,                0.54784,                0.54571,                 1.0108,              0.0011838,              0.0011838,              0.0011838
                     54,                0.67847,                0.71387,                 1.0861,                0.93128,                0.95699,                0.98364,                0.86216,                0.54648,                0.52583,                0.99367,              0.0011791,              0.0011791,              0.0011791
                     55,                 0.6882,                0.73576,                 1.0679,                0.93914,                0.95654,                0.98332,                0.86529,                0.53968,                0.53133,                0.98896,              0.0011744,              0.0011744,              0.0011744
                     56,                 0.7549,                0.73123,                 1.1456,                0.94247,                0.94759,                0.98101,                0.86827,                0.52252,                0.52609,                0.98143,              0.0011696,              0.0011696,              0.0011696
                     57,                0.69592,                0.70912,                  1.091,                0.92377,                0.95118,                0.97468,                0.86353,                0.52682,                0.53077,                0.98484,              0.0011649,              0.0011649,              0.0011649
                     58,                0.70165,                0.70459,                 1.1197,                0.93235,                0.93267,                0.97338,                0.85272,                0.53663,                0.53621,                0.98751,              0.0011602,              0.0011602,              0.0011602
                     59,                0.70636,                0.69941,                  1.107,                 0.9299,                0.92967,                0.97593,                0.84946,                0.54809,                 0.5273,                0.99196,              0.0011555,              0.0011555,              0.0011555
                     60,                 0.7279,                0.69462,                 1.0984,                0.94809,                  0.931,                0.98126,                  0.845,                0.53362,                0.53027,                0.98883,              0.0011508,              0.0011508,              0.0011508
                     61,                0.60024,                0.61992,                 1.0168,                0.92042,                0.96208,                0.98248,                0.85336,                0.52415,                0.51852,                0.98203,              0.0011461,              0.0011461,              0.0011461
                     62,                0.71118,                0.74022,                 1.1339,                0.94364,                0.93724,                0.98151,                0.85681,                 0.5043,                0.50158,                0.97195,              0.0011413,              0.0011413,              0.0011413
                     63,                0.67244,                0.72436,                 1.0915,                0.92699,                0.96283,                0.98236,                0.85971,                0.51502,                0.49442,                0.97525,              0.0011366,              0.0011366,              0.0011366
                     64,                0.69056,                0.70616,                 1.0455,                0.95206,                0.95786,                0.98532,                0.86955,                0.50541,                0.49539,                0.97295,              0.0011319,              0.0011319,              0.0011319
                     65,                0.66259,                0.66577,                 1.0826,                0.95179,                0.95324,                0.98381,                0.87084,                0.51756,                0.49494,                0.97409,              0.0011272,              0.0011272,              0.0011272
                     66,                0.62462,                0.65913,                 1.0322,                0.95875,                0.96288,                0.98613,                0.87935,                0.50606,                0.50014,                0.97012,              0.0011225,              0.0011225,              0.0011225
                     67,                 0.6625,                0.66631,                 1.0973,                0.94581,                0.96774,                0.98471,                0.88113,                0.50418,                0.49993,                0.97255,              0.0011178,              0.0011178,              0.0011178
                     68,                0.70657,                0.67847,                 1.1099,                0.97354,                0.96656,                0.98907,                0.87922,                0.53032,                0.50187,                0.97061,               0.001113,               0.001113,               0.001113
                     69,                0.71216,                0.73493,                 1.0941,                0.98555,                0.95426,                0.98971,                0.88344,                0.51817,                0.49943,                0.96368,              0.0011083,              0.0011083,              0.0011083
                     70,                0.65692,                0.63491,                 1.0641,                0.96507,                0.95967,                0.98555,                0.88829,                0.48838,                0.48334,                0.95372,              0.0011036,              0.0011036,              0.0011036
                     71,                0.70225,                 0.6584,                 1.1135,                 0.9776,                0.94844,                0.98516,                0.88598,                0.48731,                0.47437,                0.95971,              0.0010989,              0.0010989,              0.0010989
                     72,                0.69786,                0.65949,                 1.0799,                0.96899,                0.97152,                0.98761,                0.87836,                0.50044,                0.47392,                 0.9712,              0.0010942,              0.0010942,              0.0010942
                     73,                0.66527,                0.66429,                 1.0731,                0.96125,                0.97039,                0.98792,                 0.8823,                 0.4942,                 0.4741,                 0.9698,              0.0010895,              0.0010895,              0.0010895
                     74,                0.73418,                0.70496,                 1.1205,                0.95048,                0.96333,                0.98577,                0.88126,                0.49821,                0.46704,                0.97347,              0.0010848,              0.0010848,              0.0010848
                     75,                0.64777,                0.68744,                 1.0683,                0.95714,                0.97143,                0.98757,                0.88357,                0.48646,                0.46994,                0.97227,                0.00108,                0.00108,                0.00108
                     76,                 0.6366,                0.62785,                 1.0613,                0.97822,                0.97527,                0.99166,                0.87202,                0.50194,                 0.4647,                0.97143,              0.0010753,              0.0010753,              0.0010753
                     77,                0.67178,                 0.6865,                 1.0968,                0.97047,                0.97652,                0.99183,                0.87026,                0.49363,                0.45859,                0.96593,              0.0010706,              0.0010706,              0.0010706
                     78,                0.67896,                0.65813,                  1.071,                0.96294,                0.97922,                0.99224,                 0.8748,                0.48722,                0.45512,                0.96054,              0.0010659,              0.0010659,              0.0010659
                     79,                0.70952,                0.68867,                 1.1233,                0.96977,                0.96105,                0.99142,                0.88627,                0.47729,                0.46008,                 0.9559,              0.0010612,              0.0010612,              0.0010612
                     80,                0.70801,                 0.6984,                 1.1513,                0.96131,                0.97233,                0.98881,                0.89119,                0.46817,                0.47253,                0.95692,              0.0010565,              0.0010565,              0.0010565
                     81,                0.67218,                0.65204,                 1.0756,                0.95073,                0.97409,                 0.9897,                 0.8881,                0.48259,                0.48144,                0.96911,              0.0010517,              0.0010517,              0.0010517
                     82,                0.65674,                0.63489,                 1.0709,                0.96807,                0.97695,                 0.9914,                0.89052,                0.47147,                0.47714,                0.96444,               0.001047,               0.001047,               0.001047
                     83,                0.65839,                 0.6618,                 1.0786,                0.96308,                0.97727,                0.99045,                0.89347,                0.47165,                0.46352,                0.95559,              0.0010423,              0.0010423,              0.0010423
