                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0162,                  5.971,                 1.3165,                0.32241,                0.55952,                0.46319,                0.44265,                0.65182,                 4.9109,                 1.1361,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                0.89571,                 5.0633,                 1.2522,                0.44717,                0.53571,                0.52165,                 0.4934,                0.54771,                 4.1226,                 1.0469,             0.00012819,             0.00012819,             0.00012819
                      3,                0.72103,                 4.0466,                 1.1157,                0.91087,                0.49683,                0.66194,                 0.5502,                 0.5279,                 3.0525,                 1.0292,             0.00019874,             0.00019874,             0.00019874
                      4,                0.69095,                 2.9442,                  1.098,                0.86585,                0.51166,                0.75546,                0.63704,                0.49079,                 2.5358,                 1.0232,             0.00026882,             0.00026882,             0.00026882
                      5,                0.69977,                 2.5017,                 1.1253,                0.88846,                0.48037,                0.71278,                  0.588,                0.47413,                 2.2141,                 1.0052,             0.00033843,             0.00033843,             0.00033843
                      6,                0.62367,                 2.2304,                 1.0613,                 0.8855,                0.49702,                0.70935,                0.58452,                0.46589,                 2.0739,                0.99498,             0.00040757,             0.00040757,             0.00040757
                      7,                 0.6262,                 1.9505,                 1.0809,                0.67963,                0.62336,                0.71265,                0.59974,                0.44844,                 1.7057,                0.98234,             0.00047624,             0.00047624,             0.00047624
                      8,                0.66589,                 1.5909,                 1.0963,                0.79261,                0.70285,                0.77665,                 0.6538,                 0.4334,                 1.5762,                0.96431,             0.00054444,             0.00054444,             0.00054444
                      9,                0.65433,                 1.3457,                 1.0613,                0.80283,                0.77692,                0.83089,                 0.7261,                 0.4728,                 1.3414,                0.95467,             0.00061216,             0.00061216,             0.00061216
                     10,                0.67787,                 1.1234,                 1.1159,                0.75238,                0.80106,                0.82419,                0.73332,                0.48508,                 1.3001,                0.97617,             0.00067941,             0.00067941,             0.00067941
                     11,                0.65488,                 1.0019,                 1.0294,                0.74498,                0.75891,                0.80544,                0.69532,                0.54635,                 1.1687,                 1.0295,              0.0007462,              0.0007462,              0.0007462
                     12,                  0.803,                 1.1459,                 1.2073,                0.78171,                0.73566,                0.79231,                0.69299,                0.53347,                 0.9812,                 1.0268,             0.00081251,             0.00081251,             0.00081251
                     13,                0.68657,                0.90089,                 1.0647,                0.77579,                0.74685,                0.79721,                0.71327,                0.51273,                0.92427,                 1.0023,             0.00087834,             0.00087834,             0.00087834
                     14,                0.76822,                0.96834,                 1.1596,                 0.6953,                0.85178,                0.80246,                0.67614,                0.54853,                0.87666,                 1.0014,             0.00094371,             0.00094371,             0.00094371
                     15,                0.77585,                0.94661,                 1.1145,                0.72994,                  0.829,                0.82422,                0.69818,                0.49313,                0.82465,                0.97958,              0.0010086,              0.0010086,              0.0010086
                     16,                0.73312,                 1.0264,                 1.1334,                  0.791,                0.82341,                0.83151,                 0.6893,                0.51313,                0.81109,                0.99838,               0.001073,               0.001073,               0.001073
                     17,                 0.7286,                0.94034,                 1.0533,                 0.8078,                0.78406,                0.83451,                0.69957,                0.52825,                0.78239,                 1.0259,               0.001137,               0.001137,               0.001137
                     18,                0.67856,                0.81825,                 1.0515,                0.82767,                0.79789,                0.86647,                0.72675,                0.50024,                0.78498,                 1.0122,              0.0012005,              0.0012005,              0.0012005
                     19,                0.68062,                0.91208,                 1.0443,                0.85625,                0.78849,                0.87214,                0.73825,                0.48368,                0.78955,                  0.995,              0.0012635,              0.0012635,              0.0012635
                     20,                0.77897,                 0.9096,                 1.1401,                0.84723,                0.81309,                0.86963,                0.73706,                0.50035,                0.78565,                0.99397,               0.001326,               0.001326,               0.001326
                     21,                0.67467,                0.97407,                 1.0678,                0.88955,                0.81648,                0.88097,                0.74026,                0.49157,                0.75689,                0.99707,              0.0013347,              0.0013347,              0.0013347
                     22,                0.71635,                0.90661,                 1.0337,                 0.8706,                0.79004,                0.87384,                0.72111,                0.54594,                0.76794,                 1.0142,                0.00133,                0.00133,                0.00133
                     23,                0.81342,                0.91837,                 1.1283,                0.92105,                0.75813,                0.86755,                0.71398,                0.53118,                 0.7421,                 1.0076,              0.0013253,              0.0013253,              0.0013253
                     24,                0.71438,                0.91889,                 1.0769,                0.88412,                0.76488,                0.87682,                0.74119,                 0.5247,                0.78468,                 1.0038,              0.0013205,              0.0013205,              0.0013205
                     25,                0.76071,                0.82146,                 1.1309,                0.86061,                0.83398,                0.89486,                0.73896,                0.54831,                0.95992,                 1.0056,              0.0013158,              0.0013158,              0.0013158
                     26,                0.76068,                0.86766,                 1.1185,                 0.8914,                0.73308,                0.87459,                0.71219,                0.57652,                 1.1009,                 1.0242,              0.0013111,              0.0013111,              0.0013111
                     27,                0.68211,                0.83169,                 1.0546,                0.82237,                0.81737,                0.88921,                0.73539,                  0.576,                0.99324,                 1.0286,              0.0013064,              0.0013064,              0.0013064
                     28,                 0.7774,                0.93292,                 1.1481,                0.93436,                0.81439,                0.90847,                 0.7895,                0.50061,                0.74581,                0.99694,              0.0013017,              0.0013017,              0.0013017
                     29,                0.75005,                0.84786,                 1.1267,                0.87118,                 0.8158,                0.91158,                0.78528,                0.52452,                0.73559,                 1.0151,               0.001297,               0.001297,               0.001297
                     30,                0.70513,                0.78989,                 1.0564,                0.84641,                0.92413,                0.91909,                0.76172,                0.59874,                0.74626,                 1.0466,              0.0012922,              0.0012922,              0.0012922
                     31,                0.65228,                 0.7251,                 1.0681,                0.75518,                0.84551,                0.85601,                 0.7318,                0.54483,                0.70423,                 1.0218,              0.0012875,              0.0012875,              0.0012875
                     32,                0.74633,                0.90463,                 1.1699,                0.76789,                0.84429,                0.87794,                0.71192,                0.53023,                 0.6508,                 0.9831,              0.0012828,              0.0012828,              0.0012828
                     33,                0.67662,                0.75389,                 1.0602,                0.83184,                0.84661,                0.89739,                0.73886,                0.52053,                 0.6409,                0.96896,              0.0012781,              0.0012781,              0.0012781
                     34,                0.70265,                0.75894,                 1.1029,                0.90152,                0.86175,                0.92468,                 0.7654,                0.52606,                0.67978,                0.97181,              0.0012734,              0.0012734,              0.0012734
                     35,                0.68638,                0.71957,                 1.0589,                0.86569,                0.86254,                  0.916,                0.77214,                0.53056,                0.71562,                0.97683,              0.0012687,              0.0012687,              0.0012687
                     36,                0.76347,                0.84829,                 1.1193,                0.92725,                0.94219,                0.96024,                0.80094,                0.57667,                0.71152,                 1.0069,               0.001264,               0.001264,               0.001264
                     37,                0.68285,                0.73643,                 1.0501,                 0.9389,                 0.9286,                 0.9687,                0.83057,                0.54133,                0.63842,                0.98659,              0.0012592,              0.0012592,              0.0012592
                     38,                 0.6984,                0.72629,                  1.091,                0.92841,                0.93114,                0.97378,                0.85127,                0.51471,                0.55952,                0.96871,              0.0012545,              0.0012545,              0.0012545
                     39,                0.70761,                0.73346,                 1.0696,                0.86236,                0.97667,                 0.9645,                0.84572,                0.51714,                0.54602,                0.96523,              0.0012498,              0.0012498,              0.0012498
                     40,                0.69388,                0.66885,                 1.0314,                0.76261,                0.85719,                0.82276,                 0.7288,                0.52702,                0.73195,                0.99628,              0.0012451,              0.0012451,              0.0012451
                     41,                0.79759,                0.81652,                 1.1254,                0.78668,                0.86966,                0.84373,                0.73528,                0.51806,                0.68553,                0.99017,              0.0012404,              0.0012404,              0.0012404
                     42,                0.69545,                0.70849,                 1.0963,                0.92604,                0.89972,                0.95511,                0.83251,                0.50311,                0.54806,                0.96781,              0.0012357,              0.0012357,              0.0012357
                     43,                0.77221,                0.80404,                 1.1115,                0.91168,                0.94976,                0.96287,                  0.835,                0.49372,                0.51173,                0.96474,              0.0012309,              0.0012309,              0.0012309
                     44,                0.74759,                0.70263,                 1.1334,                0.93104,                0.97051,                0.98071,                0.84916,                0.46553,                0.47143,                0.95986,              0.0012262,              0.0012262,              0.0012262
                     45,                  0.604,                0.62592,                0.99436,                0.92563,                0.97484,                0.97406,                0.85538,                0.47692,                 0.4992,                0.97064,              0.0012215,              0.0012215,              0.0012215
                     46,                 0.7349,                0.76295,                 1.1289,                 0.9073,                0.94968,                0.95691,                0.82941,                 0.4993,                0.56413,                0.99184,              0.0012168,              0.0012168,              0.0012168
                     47,                0.68981,                0.67959,                    1.1,                0.88055,                0.93218,                0.94152,                  0.819,                0.49243,                0.56395,                0.98705,              0.0012121,              0.0012121,              0.0012121
                     48,                0.70391,                0.76737,                 1.0803,                0.94347,                0.95454,                0.97656,                0.83269,                0.52022,                 0.5103,                0.98542,              0.0012074,              0.0012074,              0.0012074
                     49,                0.70359,                0.68402,                 1.0971,                0.92915,                0.97399,                0.97421,                0.84064,                0.50864,                0.47315,                0.97276,              0.0012026,              0.0012026,              0.0012026
                     50,                0.73414,                0.70681,                 1.1085,                0.96525,                0.96304,                0.97459,                 0.8452,                0.49439,                  0.479,                0.96413,              0.0011979,              0.0011979,              0.0011979
                     51,                0.68204,                0.67932,                 1.0818,                  0.915,                0.85768,                0.94407,                0.83607,                0.48479,                0.48965,                0.96524,              0.0011932,              0.0011932,              0.0011932
                     52,                0.72799,                0.64571,                 1.1112,                0.92794,                0.82388,                0.90675,                0.78909,                0.50312,                0.52811,                 1.0011,              0.0011885,              0.0011885,              0.0011885
                     53,                0.72872,                0.66391,                 1.0788,                0.84326,                 0.8976,                0.94285,                0.81095,                0.50144,                 0.4836,                 1.0022,              0.0011838,              0.0011838,              0.0011838
                     54,                0.70922,                0.64468,                 1.0527,                0.88834,                 0.9625,                0.98493,                0.84447,                0.47053,                0.46527,                 0.9832,              0.0011791,              0.0011791,              0.0011791
                     55,                0.66256,                0.66586,                 1.0273,                0.94851,                0.92661,                0.98519,                0.87088,                0.45063,                0.45618,                0.98451,              0.0011744,              0.0011744,              0.0011744
                     56,                0.72912,                0.65073,                 1.1085,                0.96437,                0.95601,                 0.9899,                0.87084,                0.49126,                0.46493,                0.99198,              0.0011696,              0.0011696,              0.0011696
                     57,                0.65766,                0.64894,                 1.0459,                0.93108,                0.97284,                0.98774,                0.87112,                0.45193,                0.46188,                0.96119,              0.0011649,              0.0011649,              0.0011649
                     58,                 0.6725,                0.63858,                 1.0765,                0.97791,                0.96359,                 0.9884,                0.87365,                0.44233,                 0.4416,                0.95065,              0.0011602,              0.0011602,              0.0011602
                     59,                0.74066,                0.73935,                  1.098,                0.95953,                0.97243,                0.99158,                0.89886,                0.44544,                0.42823,                0.93486,              0.0011555,              0.0011555,              0.0011555
                     60,                0.69682,                0.62104,                 1.0446,                0.95825,                0.99398,                0.99336,                0.89876,                0.44828,                0.43437,                0.94467,              0.0011508,              0.0011508,              0.0011508
                     61,                0.56467,                0.55852,                0.97959,                0.96095,                0.99206,                0.99328,                0.88693,                0.44566,                0.43645,                0.94577,              0.0011461,              0.0011461,              0.0011461
                     62,                0.68196,                0.65412,                 1.0903,                0.95765,                0.96932,                0.99334,                0.89541,                0.42336,                0.43216,                0.92605,              0.0011413,              0.0011413,              0.0011413
                     63,                0.70873,                0.69406,                 1.0987,                0.91467,                0.98828,                0.99323,                0.86817,                0.44976,                0.45658,                0.93602,              0.0011366,              0.0011366,              0.0011366
                     64,                0.66363,                0.63557,                 1.0102,                0.92969,                0.99802,                0.99483,                0.89009,                0.44611,                0.44779,                0.95237,              0.0011319,              0.0011319,              0.0011319
                     65,                 0.6756,                0.61952,                 1.0747,                0.98724,                0.99584,                  0.995,                 0.8978,                0.42637,                0.41303,                 0.9392,              0.0011272,              0.0011272,              0.0011272
                     66,                0.62955,                 0.5848,                 1.0137,                0.97132,                0.99838,                0.99352,                0.90307,                0.43785,                 0.4104,                0.94457,              0.0011225,              0.0011225,              0.0011225
                     67,                0.65829,                0.60379,                 1.0951,                0.95942,                0.99242,                0.99339,                  0.906,                0.44307,                0.42377,                0.94406,              0.0011178,              0.0011178,              0.0011178
                     68,                0.66453,                0.67297,                 1.0681,                0.96449,                0.97832,                0.99432,                0.90796,                0.42714,                0.41525,                0.93928,               0.001113,               0.001113,               0.001113
                     69,                0.69493,                0.60866,                 1.0702,                0.95611,                0.94974,                0.98932,                0.89467,                0.43802,                0.43969,                0.94341,              0.0011083,              0.0011083,              0.0011083
