                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.035,                 6.0634,                 1.2666,                0.78738,                0.26389,                0.28779,                0.23388,                0.76294,                 5.1358,                 1.2039,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                0.84874,                 3.3455,                 1.1276,                0.69348,                0.67222,                0.67869,                0.57828,                0.62702,                 7.2519,                 1.0715,             0.00018516,             0.00018516,             0.00018516
                      3,                0.89585,                 2.0692,                 1.1731,                0.68486,                0.77485,                0.80099,                0.65246,                0.75707,                 2.4493,                 1.0881,             0.00028391,             0.00028391,             0.00028391
                      4,                0.86425,                 1.7678,                 1.1299,                0.77819,                0.70806,                0.70525,                0.60195,                0.65532,                 2.2234,                 1.0467,             0.00038201,             0.00038201,             0.00038201
                      5,                0.88429,                 1.3895,                 1.1359,                0.65397,                0.64167,                0.63086,                0.50738,                0.96468,                 2.7161,                 1.1757,             0.00047945,             0.00047945,             0.00047945
                      6,                0.95396,                 1.4703,                 1.1105,                0.87914,                0.73179,                0.79673,                0.66777,                0.76468,                 1.1175,                  1.068,             0.00057622,             0.00057622,             0.00057622
                      7,                0.88373,                 1.3206,                  1.144,                 0.4929,                0.67308,                 0.6153,                0.42514,                 1.1156,                 1.8286,                 1.3039,             0.00067234,             0.00067234,             0.00067234
                      8,                0.91992,                  1.469,                 1.0688,                0.65358,                0.72324,                0.72229,                 0.4863,                 1.0272,                 2.7157,                 1.3062,             0.00076779,             0.00076779,             0.00076779
                      9,                0.94483,                 1.2684,                 1.1344,                0.60069,                0.72222,                0.67075,                0.49054,                0.95023,                 2.4204,                 1.2738,             0.00086259,             0.00086259,             0.00086259
                     10,                0.97892,                   1.12,                 1.1365,                0.67942,                  0.575,                0.61247,                0.48562,                 1.0598,                 2.3908,                 1.4086,             0.00095673,             0.00095673,             0.00095673
                     11,                0.92686,                 1.0111,                 1.0842,                0.51598,                0.57778,                0.52912,                0.38272,                 1.1332,                 3.7385,                 1.4993,              0.0010502,              0.0010502,              0.0010502
                     12,                 1.0765,                 1.2239,                 1.1924,                0.44588,                  0.475,                0.40137,                0.25824,                 1.3559,                 5.2528,                 1.6472,               0.001143,               0.001143,               0.001143
                     13,                 1.0405,                 1.1524,                 1.1566,                0.54882,                0.55556,                0.58733,                0.36399,                 1.2363,                 4.5955,                 1.4882,              0.0012352,              0.0012352,              0.0012352
                     14,                 1.0918,                 1.0461,                 1.1756,                0.65597,                0.70276,                0.63804,                0.43758,                 1.2829,                 3.6859,                   1.57,              0.0013267,              0.0013267,              0.0013267
                     15,                 1.0246,                 1.0659,                  1.155,                0.65042,                0.19444,                0.28301,                0.11778,                 1.9613,                 6.8252,                 2.3971,               0.001363,               0.001363,               0.001363
