                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.501,                 1.9915,                 1.5342,                0.02474,                0.10909,                0.01728,                0.00515,                 2.7977,                 7.4071,                 3.0236,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.3603,                 1.4842,                 1.4485,                0.17021,                0.14545,                0.05445,                0.01046,                 3.1442,                 22.581,                 4.6199,              0.0013072,              0.0013072,              0.0013072
                      3,                 1.4174,                 1.4332,                 1.4857,                0.03833,                0.12727,                0.01878,                0.00618,                 3.2787,                   16.3,                 3.9454,              0.0019476,              0.0019476,              0.0019476
                      4,                 1.3591,                 1.4082,                 1.4793,                0.19382,                0.36364,                0.15407,                0.04389,                 2.8986,                 5.2303,                 3.0979,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3238,                 1.3364,                 1.4461,                0.21616,                0.21818,                0.09907,                0.02871,                 2.9614,                 4.1418,                 3.3275,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2862,                 1.2753,                 1.4143,                0.36066,                0.23636,                0.17221,                0.03932,                 2.9641,                 2.9328,                 3.5058,               0.001901,               0.001901,               0.001901
                      7,                 1.2336,                 1.1685,                  1.374,                0.10195,                0.18182,                0.07409,                0.01692,                 2.8779,                  3.561,                 2.9279,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2255,                 1.1853,                 1.3707,                0.26076,                0.23636,                0.15853,                0.04324,                 2.5776,                 2.6936,                 2.5551,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1507,                 1.0955,                 1.3102,                0.06628,                0.14545,                0.03976,                0.01499,                 2.6971,                 3.4154,                 2.7319,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1225,                 1.0504,                 1.3145,                0.13593,                0.18182,                0.07443,                0.02098,                 2.5614,                 3.0524,                 2.6867,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1356,                  1.066,                 1.3146,                0.22768,                0.25455,                0.12601,                0.04456,                 2.6185,                 3.2825,                 2.6786,               0.001802,               0.001802,               0.001802
                     12,                 1.1154,                  1.046,                 1.2973,                0.36477,                0.12727,                0.10418,                0.05006,                 2.3745,                 3.1795,                 2.3935,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0467,                 1.0113,                 1.2805,                0.35979,                0.18182,                0.17157,                0.04483,                 2.7741,                 2.8061,                 3.0013,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0467,                0.98239,                 1.2682,                0.06341,                0.14545,                0.02519,                0.00804,                  2.942,                 3.4238,                  3.095,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0437,                 0.9616,                 1.2555,                0.30694,                0.25455,                0.16062,                0.04342,                  2.734,                 2.9505,                 2.7297,              0.0017228,              0.0017228,              0.0017228
